                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.485,                 3.5429,                 1.2663,                0.00342,                0.98684,                0.61716,                 0.3215,                  1.155,                 3.6736,                 1.0447,                0.00038,                0.00038,                0.00038
                      2,                 1.4923,                 2.3834,                 1.1849,                 0.0032,                0.92105,                0.39796,                0.20831,                  1.221,                  3.803,                 1.1611,             0.00074139,             0.00074139,             0.00074139
                      3,                  1.495,                 2.0559,                 1.2141,                0.00274,                0.78947,                0.13502,                0.03706,                 1.4878,                 4.1532,                 1.4609,              0.0010632,              0.0010632,              0.0010632
                      4,                 1.5272,                 1.9301,                 1.2375,                0.48322,                0.09864,                0.14301,                0.05821,                 1.5863,                 3.8123,                 1.4963,              0.0013454,              0.0013454,              0.0013454
                      5,                 1.5379,                 1.7435,                 1.2384,                 0.7158,                0.22368,                0.37397,                0.17267,                 1.4257,                  3.228,                 1.2324,               0.001588,               0.001588,               0.001588
                      6,                 1.4941,                 1.6264,                 1.2378,                0.87088,                   0.25,                0.44088,                 0.2086,                 1.6779,                 3.0775,                  1.336,               0.001505,               0.001505,               0.001505
                      7,                 1.4197,                 1.5531,                 1.2111,                0.77421,                0.54145,                 0.6569,                0.35424,                  1.452,                 2.3875,                 1.2614,               0.001406,               0.001406,               0.001406
                      8,                 1.4433,                 1.4364,                 1.2167,                0.69168,                0.69737,                0.75074,                0.35693,                 1.6001,                 1.9829,                 1.2852,               0.001307,               0.001307,               0.001307
                      9,                 1.4252,                 1.3801,                 1.2232,                 0.8121,                   0.75,                0.84977,                0.49534,                 1.3633,                 1.7046,                 1.2284,               0.001208,               0.001208,               0.001208
                     10,                 1.4105,                  1.345,                 1.2198,                0.83208,                0.73684,                0.83067,                0.47202,                 1.3131,                 1.7126,                 1.1827,               0.001109,               0.001109,               0.001109
                     11,                 1.3938,                 1.5307,                   1.21,                0.91238,                0.84211,                 0.9126,                0.50511,                 1.3153,                 1.4545,                 1.2282,                0.00101,                0.00101,                0.00101
                     12,                 1.3336,                 1.3746,                 1.1859,                0.77939,                0.88322,                0.85435,                0.46862,                 1.3224,                 1.5222,                 1.2243,               0.000911,               0.000911,               0.000911
                     13,                 1.3525,                 1.2935,                  1.204,                0.82926,                0.85526,                 0.8856,                0.50704,                  1.291,                 1.4608,                 1.2305,               0.000812,               0.000812,               0.000812
                     14,                 1.3237,                 1.2162,                 1.1576,                0.88847,                0.83856,                0.91034,                0.55269,                 1.2109,                  1.189,                 1.1524,               0.000713,               0.000713,               0.000713
                     15,                 1.3066,                 1.1664,                 1.1338,                0.91412,                 0.8404,                0.91974,                0.54681,                 1.2973,                 1.1393,                 1.1632,               0.000614,               0.000614,               0.000614
                     16,                  1.287,                 1.1421,                 1.1584,                 0.9573,                0.90789,                0.97193,                0.58778,                  1.173,                 1.0591,                 1.1296,               0.000515,               0.000515,               0.000515
                     17,                 1.2408,                 1.0955,                 1.1507,                0.91093,                0.93421,                0.94721,                  0.572,                 1.2068,                 1.0121,                 1.1417,               0.000416,               0.000416,               0.000416
                     18,                 1.2063,                 1.0641,                 1.0924,                0.94653,                0.93421,                 0.9625,                0.59894,                 1.1773,                 0.9908,                 1.1308,               0.000317,               0.000317,               0.000317
                     19,                 1.2067,                 1.0232,                 1.1287,                0.97216,                  0.919,                0.95879,                0.59947,                  1.164,                0.93374,                 1.1181,               0.000218,               0.000218,               0.000218
                     20,                 1.1813,                 0.9945,                  1.083,                0.98592,                0.92107,                0.96474,                0.60912,                 1.1446,                0.91743,                 1.1146,               0.000119,               0.000119,               0.000119
